ID;Year;Default;WC/TA;RE/TA;EBIT/TA;ME/TL;S/TA
1;1999;0;0,501;0,307;0,043;0,956;0,335
1;2000;0;0,55;0,32;0,05;1,06;0,33
1;2001;0;0,45;0,23;0,03;0,80;0,25
1;2002;0;0,31;0,19;0,03;0,39;0,25
1;2003;0;0,45;0,22;0,03;0,79;0,28
1;2004;0;0,46;0,22;0,03;1,29;0,32
2;1999;0;0,01;-0,03;0,01;0,11;0,25
2;2000;0;-0,11;-0,12;0,03;0,15;0,32
2;2001;0;0,06;-0,11;0,04;0,41;0,29
2;2002;0;0,05;-0,09;0,05;0,25;0,34
2;2003;0;0,12;-0,11;0,04;0,46;0,31
3;1999;0;-0,04;0,27;0,05;0,59;0,21
3;2000;0;-0,04;0,25;0,03;0,33;0,21
3;2001;0;0,00;0,15;0,00;0,16;0,16
3;2002;0;-0,05;0,02;0,01;0,07;0,16
3;2003;0;-0,03;-0,01;0,02;0,10;0,18
3;2004;0;-0,03;-0,04;0,02;0,09;0,19
4;1995;0;0,02;0,05;0,05;0,55;0,07
4;1996;0;0,02;0,08;0,03;0,60;0,09
4;1997;0;0,03;0,11;0,04;0,79;0,10
4;1998;0;0,00;0,12;0,04;0,82;0,09
4;1999;0;0,04;0,14;0,02;0,63;0,12
4;2000;0;-0,05;0,15;0,04;0,89;0,15
4;2001;0;-0,01;0,14;0,04;0,68;0,11
4;2002;0;0,00;0,15;0,03;0,58;0,09
4;2003;0;0,01;0,15;0,04;0,58;0,11
4;2004;0;-0,01;0,16;0,05;0,62;0,11
5;1999;0;0,15;0,42;0,10;7,96;0,27
5;2000;0;0,23;0,47;0,09;11,17;0,27
5;2001;0;0,05;0,32;0,08;6,12;0,21
5;2002;0;0,12;0,36;0,07;4,63;0,22
5;2003;0;0,14;0,41;0,08;5,38;0,22
5;2004;0;0,16;0,43;0,07;5,06;0,22
6;1998;0;0,08;0,10;0,02;0,75;0,14
6;1999;0;0,03;0,04;0,03;0,81;0,14
6;2000;0;0,03;-0,01;0,06;0,77;0,18
6;2001;0;0,04;0,00;0,04;0,64;0,13
6;2002;0;0,04;0,00;0,03;0,71;0,15
6;2003;0;0,02;-0,03;0,03;0,65;0,18
6;2004;0;0,01;-0,05;0,04;0,55;0,20
7;1998;0;0,09;-0,05;0,05;1,13;0,19
7;1999;0;0,07;-0,01;0,07;0,88;0,18
7;2000;0;0,05;0,24;0,03;0,46;0,14
7;2001;0;-0,38;0,33;0,02;1,22;0,11
8;1999;0;0,14;0,23;0,05;1,80;0,25
8;2000;0;0,28;0,34;0,06;1,70;0,24
8;2001;0;0,21;0,32;0,02;2,61;0,20
8;2002;0;0,15;0,15;-0,02;0,74;0,14
8;2003;0;0,23;0,10;0,05;1,14;0,21
8;2004;0;0,21;0,13;0,04;1,70;0,19
9;1995;0;-0,17;0,07;0,07;1,57;0,16
9;1996;0;0,03;-0,07;0,04;3,37;0,09
9;1997;0;0,01;-0,04;0,04;3,13;0,12
10;2001;0;0,28;0,18;0,04;0,17;0,17
10;2002;0;0,31;0,09;0,04;0,22;0,15
10;2003;0;0,33;0,13;0,03;0,33;0,14
10;2004;0;0,34;0,16;0,04;0,59;0,16
11;1995;0;0,39;0,09;0,05;3,02;0,08
11;1996;0;0,33;0,12;0,02;3,56;0,07
11;1997;0;0,35;-0,24;-0,36;1,72;0,04
11;1998;0;0,36;0,05;0,02;1,71;0,06
11;1999;0;0,11;-0,01;0,01;2,63;0,05
11;2000;0;0,09;-0,04;0,06;1,47;0,11
11;2001;0;0,14;-0,08;0,02;3,61;0,09
12;1995;0;0,19;0,22;0,06;1,29;0,71
13;1999;0;0,02;0,45;0,06;1,29;0,18
13;2000;0;0,09;0,42;0,06;1,54;0,20
13;2001;0;0,07;0,45;0,06;1,79;0,20
